k,Accuracy
1,94.89
2,94.04
3,95.03
4,94.88
5,94.86
6,94.77
7,94.82000000000001
8,94.66
9,94.73
10,94.59
11,94.56
12,94.36
13,94.42
14,94.25
15,94.17999999999999
16,94.17999999999999
17,94.17999999999999
18,94.1
19,94.08
20,93.92
21,93.92
22,93.85
23,93.82000000000001
24,93.67999999999999
25,93.61
26,93.58999999999999
27,93.64
28,93.57
29,93.47999999999999
30,93.44
31,93.43
32,93.30000000000001
33,93.28999999999999
34,93.25
35,93.28
36,93.15
37,93.22
38,93.17
39,93.16
40,93.16
41,93.06
42,93.05
43,92.93
44,92.94
45,92.86
46,92.9
47,92.86999999999999
48,92.81
49,92.77
50,92.67999999999999
